,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
23,2019-05-22,2019-05-22T08:05:35.7502439Z,2015-05-26T18:24:28.9330000Z,2019-05-22T10:55:34.6906007Z,2015-05-26T18:24:28.9330000Z,2013-08-25,6,2858355.0,2019-05-22T06:24:36.1530000Z,2013-08-25T00:21:44.0000000Z,ITBIT,itBit,https://www.itbit.com/
24,2019-05-22,2019-05-22T08:26:05.8409126Z,2017-03-14T20:03:36.9946659Z,2019-05-22T11:48:37.2593006Z,2017-03-14T20:03:36.9946659Z,2016-12-02,3946,2517397.0,2019-05-22T12:54:20.5960000Z,2016-12-02T05:15:13.4340000Z,DERIBIT,Deribit,https://www.deribit.com/
25,2019-05-22,2019-05-22T08:26:48.1399347Z,2017-08-29T15:47:11.6744609Z,2019-05-22T11:48:33.2380848Z,2017-08-29T15:47:11.6744609Z,2014-03-29,112,2249.0,2019-05-06T00:00:00.0000000Z,2014-03-29T12:36:43.0000000Z,BITBAY,BitBay,https://www.bitbay.net/
26,2019-05-22,2019-05-22T08:22:34.5391363Z,2018-11-27T00:44:52.1671444Z,2019-05-22T11:41:18.3206475Z,2018-11-27T00:44:52.1671444Z,2018-11-20,258,,2019-05-22T11:44:02.5910000Z,2018-11-20T18:52:30.0000000Z,BIBOX,Bibox,https://www.bibox.com/
27,2019-05-22,2019-05-22T08:06:46.9120000Z,2018-08-20T23:03:42.8653704Z,2019-05-22T11:37:38.6810000Z,2018-08-20T23:03:42.8653704Z,2018-08-20,352,,2019-05-19T16:29:38.0000000Z,2018-08-20T00:00:58.5670000Z,UPBIT,UPbit Korea,https://upbit.com/
28,2019-05-14,2019-05-14T04:39:08.6918942Z,2017-03-14T20:03:49.1491232Z,2019-05-14T04:39:36.3417482Z,2017-03-14T20:03:49.1491232Z,2014-12-07,4658,69643970.0,2019-05-14T00:00:00.0000000Z,2014-12-07T20:04:05.0000000Z,CRYPTOPIA,Cryptopia,https://www.cryptopia.co.nz/
29,2019-05-22,2019-05-22T08:15:51.0033291Z,2017-03-14T20:03:20.5307029Z,2019-05-22T11:48:39.8979866Z,2017-03-14T20:03:20.5307029Z,2017-03-14,1,59142974.0,2017-12-18T00:00:00.0000000Z,2017-03-14T20:04:46.0000000Z,COINCHECK,coincheck,https://coincheck.com/
30,2019-03-19,2019-03-19T00:00:00.0000000Z,2017-09-21T13:45:51.3610312Z,2019-03-19T00:00:00.0000000Z,2017-09-21T13:45:51.3610312Z,2016-09-08,488,53558016.0,2019-01-27T00:00:00.0000000Z,2016-09-08T12:23:19.0000000Z,LIQUI,Liqui,https://liqui.io/
31,2019-05-22,2019-05-22T08:26:42.3544116Z,2017-03-14T20:04:15.0007802Z,2019-05-22T11:48:25.8017362Z,2017-03-14T20:04:15.0007802Z,2016-02-17,145,43956873.0,2019-05-22T12:59:48.0000000Z,2016-02-17T16:38:11.0000000Z,EXMO,EXMO,https://exmo.com/
32,2019-02-06,2019-02-06T00:00:00.0000000Z,2015-05-19T14:31:56.5100000Z,2019-02-06T00:00:00.0000000Z,2015-05-19T14:31:56.5100000Z,2015-05-18,12,38044915.0,2019-02-06T00:00:00.0000000Z,2015-05-18T00:17:33.0000000Z,CHBTC,CHBTC,https://www.chbtc.com/
33,2019-04-15,2019-04-15T00:00:00.0000000Z,2017-03-18T22:53:36.0065489Z,2019-04-15T00:00:00.0000000Z,2017-03-18T22:53:36.0065489Z,2014-12-31,41,17862130.0,2017-09-07T00:00:00.0000000Z,2014-12-31T12:12:00.0000000Z,JUBI,Jubi,https://www.jubi.com/
34,2019-05-22,2019-05-22T08:15:11.1335138Z,2017-12-28T21:48:26.7161574Z,2019-05-22T10:48:59.5280722Z,2017-12-28T21:48:26.7161574Z,2017-11-08,30,17254810.0,2019-05-22T11:37:02.0000000Z,2017-11-08T10:35:32.0000000Z,ZAIF,Zaif,https://zaif.jp/
35,2019-05-22,2019-05-22T07:42:56.3385472Z,2017-03-18T22:53:39.4192811Z,2019-05-22T09:17:49.2754275Z,2017-03-18T22:53:39.4192811Z,2013-09-03,4,14253548.0,2019-05-22T09:26:52.5220000Z,2013-09-03T06:31:37.0000000Z,KORBIT,Korbit,https://www.korbit.co.kr/
36,2018-01-09,2018-01-09T00:00:00.0000000Z,2017-03-18T22:53:45.3558927Z,2018-01-09T00:00:00.0000000Z,2017-03-18T22:53:45.3558927Z,2017-03-16,53,11016890.0,2017-10-31T00:00:00.0000000Z,2017-03-16T13:30:42.0000000Z,BTC38,BTC38,http://www.btc38.com
37,2014-02-25,,,,,2010-07-17,15,10050212.0,2014-02-25T00:00:00.0000000Z,2010-07-17T23:09:17.0000000Z,MTGOX,mtgox,https://www.mtgox.com/
38,2019-05-22,2019-05-22T08:22:36.4825490Z,2017-03-18T22:53:40.7300076Z,2019-05-22T10:52:38.1623533Z,2017-03-18T22:53:40.7300076Z,2014-03-01,10,8318865.0,2019-05-22T11:34:31.0000000Z,2014-03-01T12:01:39.0000000Z,LAKEBTC,LakeBTC,https://www.lakebtc.com/
39,2019-05-22,2019-05-22T08:26:47.2241274Z,2017-03-14T20:04:25.7449674Z,2019-05-22T11:48:22.0724787Z,2017-03-14T20:04:25.7449674Z,2017-02-16,390,7816990.0,2019-05-22T13:00:42.0000000Z,2017-02-16T20:09:59.0000000Z,BLEUTRADE,Bleutrade,https://bleutrade.com
40,2019-05-22,2019-05-22T08:26:20.7697737Z,2018-01-05T15:56:05.6259966Z,2019-05-22T11:47:50.6043917Z,2018-01-05T15:56:05.6259966Z,2018-01-05,21,6306826.0,2019-05-22T13:02:58.0000000Z,2018-01-05T15:51:29.0000000Z,BITCOINID,Indodax,https://indodax.com/
41,2019-05-22,2019-05-22T08:26:29.6719318Z,2017-12-28T21:49:03.2916366Z,2019-05-22T11:48:11.9801048Z,2017-12-28T21:49:03.2916366Z,2017-02-10,347,5591626.0,2019-05-22T11:38:15.0000000Z,2017-02-10T20:18:18.0000000Z,TIDEX,Tidex,https://tidex.com/
42,2019-05-22,2019-05-22T08:26:13.4549015Z,2017-09-21T13:50:21.9301963Z,2019-05-22T11:42:59.2136422Z,2017-09-21T13:50:21.9301963Z,2017-09-13,27,5009113.0,2019-05-22T13:57:15.0000000Z,2017-09-13T10:58:32.0000000Z,ACX,ACX,https://acx.io/
43,2019-05-22,2019-05-22T07:55:59.0828488Z,2017-08-29T15:47:12.6045423Z,2019-05-22T11:47:52.3422209Z,2017-08-29T15:47:12.6045423Z,2017-08-29,17,4424601.0,2019-05-22T13:02:15.0000000Z,2017-08-29T03:39:38.0000000Z,BITSO,Bitso,https://bitso.com/
44,2019-05-22,2019-05-22T08:02:08.8259399Z,2017-12-28T21:41:59.3272652Z,2019-05-22T11:48:37.8072956Z,2017-12-28T21:41:59.3272652Z,2017-12-28,913,4170103.0,2019-05-22T13:03:06.0000000Z,2017-12-28T20:44:07.0000000Z,LIVECOIN,LiveCoin,https://www.livecoin.net/
45,2018-06-22,2018-06-22T00:00:00.0000000Z,2018-01-24T00:21:38.5122245Z,2018-06-22T00:00:00.0000000Z,2018-01-24T00:21:38.5122245Z,2018-01-19,6,3917307.0,2018-06-22T00:00:00.0000000Z,2018-01-19T02:29:23.0000000Z,MIXCOINS,MixCoins,https://mixcoins.com/
46,2019-05-22,2019-05-22T08:19:39.4569059Z,2017-03-14T20:04:16.0302851Z,2019-05-22T11:42:45.9199789Z,2017-03-14T20:04:16.0302851Z,2011-04-27,12,3265482.0,2019-05-22T11:17:53.0000000Z,2011-04-27T16:05:09.0000000Z,VIRWOX,BirWoX,https://www.virwox.com/
47,2018-03-10,2018-03-09T00:00:00.0000000Z,2017-01-08T23:59:43.3338614Z,2018-03-09T00:00:00.0000000Z,2017-01-08T23:59:43.3338614Z,2017-01-08,208,3204349.0,2018-03-10T00:00:00.0000000Z,2017-01-09T00:21:54.0000000Z,BTER,Bter,https://bter.com/
